dea,bde,fdd,fee,bbf,492,37,236,728,620,553,495,477,716,511
bbf,cea,ede,afc,bca,541,273,810,868,788,813,223,149,765,557
bfd,aaf,fab,cbe,ddc,548,329,39,83,697,843,441,623,479,884
ecd,eed,dab,afd,caa,95,272,450,796,148,844,441,619,123,226
aca,bbe,edd,ddf,bfe,800,790,674,280,640,906,831,636,378,744
bae,cda,ffe,bcf,cfa,404,338,671,65,955,414,763,630,343,30
cff,deb,ceb,dde,edb,914,754,70,200,501,416,976,47,257,123
eef,bbc,bfc,dda,afa,734,665,167,26,640,690,337,189,908,820
aca,eba,bad,adb,afd,207,843,512,690,941,743,15,235,760,740
acf,dac,ccb,dee,fbb,654,142,468,791,628,716,530,257,115,730
